MDI_0,MDI_1,MDI_2,MDI_3,MDI_4,relevance,shrink_mode,lambda,replication
0.5876670922421716,0.01930170666538941,0.056772528028876945,0.09859962192848394,0.23765905113507804,00,hs,100.0,0
0.32500545090954036,0.051575562687037446,0.11646571726317267,0.10436944244067876,0.4025838266995708,00,hs_entropy,100.0,0
0.3188464917948983,0.07542329860056864,0.11266790517872807,0.09862945192522399,0.39443285250058097,00,hs_log_cardinality,100.0,0
0.4610394377216078,0.024897415189188442,0.08896853026736752,0.16438617747004655,0.2607084393517896,00,hs_permutation,10.0,0
0.4474288032175229,0.027610158712655573,0.0823861662988617,0.09169048591579289,0.35088438585516696,00,hs_global_permutation,100.0,0
0.5098195787036395,0.16761331480868458,0.06398747453432348,0.12328742832694886,0.1352922036264036,05,hs,100.0,0
0.2209453554243555,0.39086037144894104,0.11975019435739993,0.16904565590764928,0.09939842286165423,05,hs_entropy,100.0,0
0.219541669677542,0.4084822906045662,0.11908149944491948,0.15982604743802667,0.09306849283494575,05,hs_log_cardinality,100.0,0
0.30517748678507395,0.37431153516959453,0.07936887714294764,0.17906242482915005,0.06207967607323387,05,hs_permutation,100.0,0
0.2887473276142293,0.3961095139414496,0.06681027246722995,0.1604546689474091,0.08787821702968197,05,hs_global_permutation,100.0,0
0.5358956645504849,0.19738291836831165,0.043950659369098304,0.09054214824630973,0.13222860946579545,10,hs,100.0,0
0.2520517604994912,0.44056198975145583,0.08060305623534376,0.08749794421958065,0.13928524929412853,10,hs_entropy,100.0,0
0.24689901932670444,0.45473253026964305,0.0834043406676781,0.08319361545040806,0.13177049428556636,10,hs_log_cardinality,100.0,0
0.31480271370641444,0.4778702034654581,0.032982252819777666,0.04957219061287312,0.12477263939547666,10,hs_permutation,100.0,0
0.1534135712336241,0.5795986509046627,0.06316388067191221,0.11643629580056283,0.08738760138923812,10,hs_global_permutation,100.0,0
0.2292455948603553,0.6318658980902162,0.01595417638873716,0.03619647980405602,0.08673785085663534,15,hs,100.0,0
0.06265524287012919,0.857711771082189,0.015424265622066795,0.025457918684847123,0.03875080174076787,15,hs_entropy,100.0,0
0.06000455997160812,0.8659214785148773,0.015138311084524606,0.023189204962499127,0.03574644546649091,15,hs_log_cardinality,100.0,0
0.10611322406170887,0.8256141391399461,0.011919873848632561,0.02155177323934223,0.03480098971037045,15,hs_permutation,100.0,0
0.07577909806723354,0.8445753235575181,0.012660769543355948,0.026450631509217924,0.04053417732267443,15,hs_global_permutation,100.0,0
0.1624168109084769,0.7079980925037743,0.01928891261878274,0.046151576572856214,0.06414460739610982,20,hs,100.0,0
0.034103625916115196,0.8890309504762182,0.020545431948246068,0.029231445357831384,0.027088546301589314,20,hs_entropy,100.0,0
0.03243980428412672,0.8952684606883886,0.020227799004240026,0.027055630185988933,0.025008305837255603,20,hs_log_cardinality,100.0,0
0.03421479653008535,0.9137746349968974,0.01944889374448333,0.010755337633511608,0.02180633709502233,20,hs_permutation,100.0,0
0.03716686709449895,0.9013141342029429,0.01119378394587795,0.01824640857730369,0.03207880617937648,20,hs_global_permutation,100.0,0
0.517371880526436,0.027579407512453656,0.09562845751472814,0.11809778722393524,0.241322467222447,00,hs,25.0,1
0.40169254366731394,0.04407219710405044,0.1345519244513532,0.14419543651998687,0.27548789825729536,00,hs_entropy,10.0,1
0.2340553689475978,0.08754845482366286,0.23277757319223735,0.1025188740944491,0.3430997289420528,00,hs_log_cardinality,100.0,1
0.36162730705739043,0.013572819603319988,0.1011753399248538,0.09034796701903451,0.43327656639540135,00,hs_permutation,100.0,1
0.44272234280636874,0.04411218132071385,0.09096625998660225,0.09310553838771324,0.329093677498602,00,hs_global_permutation,100.0,1
0.5107179139550059,0.004653305222114297,0.11047025811543756,0.14101467595127473,0.23314384675616776,05,hs,0.0,1
0.46628779356101324,0.02002811833829408,0.09717720981413515,0.2065900678857043,0.20991681040085322,05,hs_entropy,10.0,1
0.47068029048892723,0.020110175619282935,0.09729645494305891,0.20835746828763088,0.20355561066110003,05,hs_log_cardinality,10.0,1
0.5198131468286378,0.028590554853642643,0.06598452014090318,0.22373441234671268,0.1618773658301035,05,hs_permutation,10.0,1
0.41367222684066896,0.0783095032123716,0.0669806272217535,0.2772174146838132,0.16382022804139273,05,hs_global_permutation,50.0,1
0.41038054327151613,0.3063453258637563,0.021105575772477896,0.11195882683017455,0.15020972826207504,10,hs,100.0,1
0.15634702613440585,0.5934952376542054,0.029714256797753767,0.10936634781327488,0.11107713160036026,10,hs_entropy,100.0,1
0.15200849217630466,0.6094626167317112,0.02736746463714266,0.10563880408056206,0.10552262237427956,10,hs_log_cardinality,100.0,1
