relevance,shrink_mode,lambda,ROC AUC,replication
05,hs_log_cardinality,25.0,0.48739113148843083,0
05,hs_log_cardinality,50.0,0.5102314557827612,0
05,hs_log_cardinality,100.0,0.5197129208662089,0
05,hs_permutation,0.0,0.47888733359565006,0
05,hs_permutation,0.1,0.4923600754041736,0
05,hs_permutation,1.0,0.49073157037820303,0
05,hs_permutation,10.0,0.5181917608569523,0
05,hs_permutation,25.0,0.5227864371020219,0
05,hs_permutation,50.0,0.5269501913270483,0
05,hs_permutation,100.0,0.5302513834066179,0
05,hs_global_permutation,0.0,0.47888733359565006,0
05,hs_global_permutation,0.1,0.49607481120989333,0
05,hs_global_permutation,1.0,0.5011833697039395,0
05,hs_global_permutation,10.0,0.5006908937930246,0
05,hs_global_permutation,25.0,0.5143348380297589,0
05,hs_global_permutation,50.0,0.5120895095136715,0
05,hs_global_permutation,100.0,0.5282515726598659,0
10,hs,0.0,0.4954612884898439,0
10,hs,0.1,0.4954612884898439,0
10,hs,1.0,0.4954612884898439,0
10,hs,10.0,0.4908017840806226,0
10,hs,25.0,0.4823497337260821,0
10,hs,50.0,0.4862238057796642,0
10,hs,100.0,0.496025031924811,0
10,hs_entropy,0.0,0.4954612884898439,0
10,hs_entropy,0.1,0.4954612884898439,0
10,hs_entropy,1.0,0.4954612884898439,0
10,hs_entropy,10.0,0.49691136599994135,0
10,hs_entropy,25.0,0.4959684658876169,0
10,hs_entropy,50.0,0.5094745103108558,0
10,hs_entropy,100.0,0.524949940847554,0
10,hs_log_cardinality,0.0,0.4954612884898439,0
10,hs_log_cardinality,0.1,0.4954612884898439,0
10,hs_log_cardinality,1.0,0.4954612884898439,0
10,hs_log_cardinality,10.0,0.49697638022180246,0
10,hs_log_cardinality,25.0,0.5018206680991998,0
10,hs_log_cardinality,50.0,0.5133445366661685,0
10,hs_log_cardinality,100.0,0.5268730177706309,0
10,hs_permutation,0.0,0.4954612884898439,0
10,hs_permutation,0.1,0.492016911048033,0
10,hs_permutation,1.0,0.4923060355031786,0
10,hs_permutation,10.0,0.490598275139538,0
10,hs_permutation,25.0,0.5006810592083271,0
10,hs_permutation,50.0,0.5264459629620492,0
10,hs_permutation,100.0,0.5584661322367586,0
10,hs_global_permutation,0.0,0.4954612884898439,0
10,hs_global_permutation,0.1,0.5040065587255932,0
10,hs_global_permutation,1.0,0.511839218020729,0
10,hs_global_permutation,10.0,0.5068556637453402,0
10,hs_global_permutation,25.0,0.5190839301145911,0
10,hs_global_permutation,50.0,0.531305630533309,0
10,hs_global_permutation,100.0,0.5461353386833447,0
15,hs,0.0,0.5435329037070982,0
15,hs,0.1,0.5435329037070982,0
15,hs,1.0,0.5435329037070982,0
15,hs,10.0,0.547968186004612,0
15,hs,25.0,0.5823151134741942,0
15,hs,50.0,0.6172942049749849,0
15,hs,100.0,0.6376754154421979,0
15,hs_entropy,0.0,0.5435329037070982,0
15,hs_entropy,0.1,0.5435329037070982,0
15,hs_entropy,1.0,0.5435329037070982,0
15,hs_entropy,10.0,0.5645358001717269,0
15,hs_entropy,25.0,0.6227554128852157,0
