relevance,shrink_mode,ROC AUC,replication
00,no_shrinkage,0.5159143228906016,0
00,hs,0.4890401361225103,0
00,hs_entropy,0.5039035131618457,0
00,hs_log_cardinality,0.49949954959463516,0
00,hs_permutation,0.5327294565108597,0
00,hs_global_permutation,0.5389350415373837,0
05,no_shrinkage,0.48,0
05,hs,0.5114500000000001,0
05,hs_entropy,0.51725,0
05,hs_log_cardinality,0.5096,0
05,hs_permutation,0.5036999999999999,0
05,hs_global_permutation,0.49805000000000005,0
10,no_shrinkage,0.505,0
10,hs,0.49189999999999995,0
10,hs_entropy,0.52395,0
10,hs_log_cardinality,0.5263,0
10,hs_permutation,0.53015,0
10,hs_global_permutation,0.5387,0
15,no_shrinkage,0.5245098039215687,0
15,hs,0.6243497398959584,0
15,hs_entropy,0.6279511804721889,0
15,hs_log_cardinality,0.6298019207683074,0
15,hs_permutation,0.6276510604241697,0
15,hs_global_permutation,0.6210484193677472,0
20,no_shrinkage,0.5552884615384616,0
20,hs,0.6694711538461539,0
20,hs_entropy,0.6783353365384616,0
20,hs_log_cardinality,0.6840444711538461,0
20,hs_permutation,0.6924078525641026,0
20,hs_global_permutation,0.6778345352564102,0
00,no_shrinkage,0.504501800720288,1
00,hs,0.5306122448979591,1
00,hs_entropy,0.530062024809924,1
00,hs_log_cardinality,0.5375150060024011,1
00,hs_permutation,0.5255602240896359,1
00,hs_global_permutation,0.5111544617847139,1
05,no_shrinkage,0.5102040816326531,1
05,hs,0.5375650260104042,1
05,hs_entropy,0.5469687875150061,1
05,hs_log_cardinality,0.5487194877951181,1
05,hs_permutation,0.5232593037214885,1
05,hs_global_permutation,0.5234593837535014,1
10,no_shrinkage,0.532051282051282,1
10,hs,0.5946013621794872,1
10,hs_entropy,0.623447516025641,1
10,hs_log_cardinality,0.6228966346153846,1
10,hs_permutation,0.6135817307692308,1
10,hs_global_permutation,0.5987079326923076,1
15,no_shrinkage,0.556390977443609,1
15,hs,0.6478696741854635,1
15,hs_entropy,0.6725814536340852,1
15,hs_log_cardinality,0.6653634085213033,1
15,hs_permutation,0.657593984962406,1
15,hs_global_permutation,0.672531328320802,1
20,no_shrinkage,0.5848084808480848,1
20,hs,0.7223222322232224,1
20,hs_entropy,0.750825082508251,1
