MDI_0,MDI_1,MDI_2,MDI_3,MDI_4,SHAP_0,SHAP_1,SHAP_2,SHAP_3,SHAP_4,relevance,shrink_mode,replication
0.4940930532942333,0.053151408956807616,0.09590698456367579,0.15532284957362705,0.20152570361165636,0.209373334077036,0.04927083379480615,0.08763416743862722,0.07551833396710735,0.13076333432918508,00,no_shrinkage,0
0.6991389555297758,0.020476823512089484,0.044684206901493426,0.07036561676252834,0.16533439729411292,0.06510223574750941,0.0073868549354765565,0.024157727046311597,0.020132458580739563,0.04234170209084241,00,hs,0
0.5000376520079582,0.06278302125070041,0.10841469414575057,0.08740813941633575,0.24135649317925492,0.03151726172408229,0.007618009653079789,0.01731863223918923,0.012715055610926123,0.03060149796807696,00,hs_entropy,0
0.48366939420244437,0.09337789030048077,0.10417085683687306,0.08606882615919145,0.23271303250101044,0.030769072968864816,0.008390987595665733,0.01733016308659129,0.013723783392761134,0.030726302115510917,00,hs_log_cardinality,0
0.4876587552995272,0.06553601346768363,0.03231481029771331,0.10745788366279747,0.30703253727227847,0.03081147356519662,0.0077227927078837525,0.007934125810485566,0.011219459209979979,0.030038543229269327,00,hs_permutation,0
0.4674303528621368,0.0610283738620822,0.1527890753886685,0.08801603395520245,0.23073616393191,0.0355943307667037,0.005035778346470091,0.015874311147293308,0.008357657806086353,0.01992711672014743,00,hs_global_permutation,0
0.45504456260247866,0.013207623107744575,0.10023687602499932,0.19614617363997078,0.2353647646248067,0.17318583420291542,0.1089766683534719,0.04335083391405641,0.10312416752930731,0.13263416758757085,05,no_shrinkage,0
0.47452007398318746,0.12812452305232871,0.0323692734447266,0.11610489545218658,0.24888123406757076,0.04866725665968843,0.05491611314825714,0.007260627372236922,0.027822836001589895,0.03409218600152526,05,hs,0
0.20241774239558152,0.34387501749960664,0.06362902832207899,0.15032749159628817,0.2397507201864447,0.02190369183856528,0.05031131438091397,0.0057211456956574695,0.01771073726892937,0.019643765762145632,05,hs_entropy,0
0.20044388116437947,0.36310902589058514,0.06208464100554997,0.14446247222591224,0.2298999797135732,0.021348281061532907,0.05219651547521353,0.005354388687061146,0.017720173669839277,0.019521257199672983,05,hs_log_cardinality,0
0.2582955531308939,0.3584662467698926,0.04787863462913351,0.15278890127974956,0.18257066419033036,0.01934168562809937,0.05053468433618545,0.004469375791586935,0.020284844975802116,0.017890495382086372,05,hs_permutation,0
0.22316955962067067,0.34411018913236546,0.020154933697346927,0.17407659934686537,0.23848871820275155,0.016016216277424247,0.052814049070328474,0.00221370781136211,0.020791224887222053,0.019573240541736595,05,hs_global_permutation,0
0.5159912081877518,0.030620351612773333,0.08558169757920199,0.16234363839809496,0.2054631042221779,0.17668916751341895,0.11644583496032283,0.04657000062623993,0.08599916740478948,0.14571416769213974,10,no_shrinkage,0
0.4346194567825326,0.2515116578226053,0.016809220589826878,0.07457045493177672,0.2224892098732584,0.05180260333193001,0.07178319771625101,0.006404758282750845,0.019111756623722612,0.048220080341864376,10,hs,0
0.14359241118936297,0.553018972064396,0.023790805632053352,0.07257965767965627,0.20701815343453145,0.021262829675339164,0.07188385440930724,0.0047760491733206435,0.01146094572620932,0.029780245217843913,10,hs_entropy,0
0.1389104188756568,0.573400827331259,0.024439621133417497,0.06718736636073105,0.1960617662989357,0.021823672868264837,0.07451497177258135,0.004411329766758718,0.011166137023898773,0.02925376063170843,10,hs_log_cardinality,0
0.14660626981985375,0.5356253935847394,0.015766495157069755,0.0776943481786015,0.22430749325973556,0.015744367671222427,0.071185031632334,0.0032372311634011565,0.014192230928270147,0.029324479262367822,10,hs_permutation,0
0.15831955778333487,0.5153912440843607,0.020770687669220637,0.07496126968669264,0.2305572407763911,0.015212565881269983,0.07042053168714046,0.0036929102955851703,0.014612979427073151,0.03202916106001939,10,hs_global_permutation,0
0.48017623019865596,0.13352753269045362,0.08902413563456046,0.1339619685349132,0.16331013294141675,0.144413334059529,0.18216666935513912,0.06520416727791353,0.08023333396257273,0.12278083400276305,15,no_shrinkage,0
0.17397331402991276,0.6834565470701495,0.020491069168059893,0.03854502489347476,0.08353404483840311,0.034691896003394625,0.15594638743754477,0.009638329539002151,0.020106580181694825,0.03959538779381313,15,hs,0
0.03235347741346225,0.8803660066805182,0.018308279526751146,0.021591772521132882,0.04738046385813549,0.014499022431857418,0.15792957166512311,0.007278355885092634,0.014319196818177124,0.024811366421331187,15,hs_entropy,0
0.030500918858060583,0.8898266393425899,0.01664050631510653,0.019662392035887825,0.04336954344835514,0.014485294039074333,0.1634943506924808,0.007231449858092702,0.01370319643065939,0.02486318426248152,15,hs_log_cardinality,0
0.029874057350556496,0.8993409136493566,0.010888669357406414,0.01100967775738531,0.04888668188529504,0.013487265437677969,0.1577682633190304,0.006315050831574015,0.00705827480794629,0.02475434984780429,15,hs_permutation,0
0.03688592252767726,0.9087762074836775,0.00894367496184293,0.015091349294964761,0.0303028457318374,0.014361732221005018,0.16054885304066538,0.005517047630993183,0.008175580375391057,0.019692521362021563,15,hs_global_permutation,0
0.4299810614340165,0.18527518224404418,0.08966246536017244,0.13273643903003052,0.16234485193173634,0.1547566671504304,0.2103616694171727,0.06744500075309724,0.07474666737466305,0.09735833385397494,20,no_shrinkage,0
0.15851814577595316,0.7169642497778458,0.025182734253078237,0.026896732682779857,0.0724381375103429,0.047979149282850325,0.1826186856017411,0.014350546410243959,0.015177978526910767,0.033917101544901726,20,hs,0
