relevance,shrink_mode,ROC AUC,replication
00,no_shrinkage,0.4889400460414373,0
00,hs,0.46141527374637176,0
00,hs_entropy,0.4697227504754279,0
00,hs_log_cardinality,0.4658192373135822,0
00,hs_permutation,0.46962266039435496,0
00,hs_global_permutation,0.44049644680212185,0
05,no_shrinkage,0.44029626663997595,0
05,hs,0.4181763587228505,0
05,hs_entropy,0.45070563507156436,0
05,hs_log_cardinality,0.42648383545190677,0
05,hs_permutation,0.45160644580122106,0
05,hs_global_permutation,0.45641076969272343,0
10,no_shrinkage,0.4935768767563227,0
10,hs,0.5383380168606985,0
10,hs_entropy,0.5393416298675231,0
10,hs_log_cardinality,0.5428542753914091,0
10,hs_permutation,0.5488759534323564,0
10,hs_global_permutation,0.5403452428743477,0
15,no_shrinkage,0.6483709273182958,0
15,hs,0.6934335839598996,0
15,hs_entropy,0.6970426065162908,0
15,hs_log_cardinality,0.702155388471178,0
15,hs_permutation,0.7016541353383459,0
15,hs_global_permutation,0.7077694235588973,0
20,no_shrinkage,0.6499399038461537,0
20,hs,0.685897435897436,0
20,hs_entropy,0.6907051282051283,0
20,hs_log_cardinality,0.6852964743589745,0
20,hs_permutation,0.7013221153846153,0
20,hs_global_permutation,0.6967147435897435,0
00,no_shrinkage,0.5348534853485348,1
00,hs,0.47394739473947395,1
00,hs_entropy,0.506050605060506,1
00,hs_log_cardinality,0.48474847484748473,1
00,hs_permutation,0.5131513151315132,1
00,hs_global_permutation,0.494049404940494,1
05,no_shrinkage,0.5076507650765076,1
05,hs,0.5214521452145214,1
05,hs_entropy,0.5337533753375338,1
05,hs_log_cardinality,0.5403540354035403,1
05,hs_permutation,0.5365536553655365,1
05,hs_global_permutation,0.540954095409541,1
10,no_shrinkage,0.5492,1
10,hs,0.6593000000000001,1
10,hs_entropy,0.6876999999999999,1
10,hs_log_cardinality,0.6823000000000001,1
10,hs_permutation,0.7017,1
10,hs_global_permutation,0.6914,1
15,no_shrinkage,0.6806222488995598,1
15,hs,0.6962785114045619,1
15,hs_entropy,0.7005802320928372,1
15,hs_log_cardinality,0.6934773909563826,1
15,hs_permutation,0.6967787114845939,1
15,hs_global_permutation,0.6854741896758703,1
20,no_shrinkage,0.5936593659365935,1
20,hs,0.6508650865086508,1
20,hs_entropy,0.6284628462846285,1
20,hs_log_cardinality,0.6213621362136214,1
20,hs_permutation,0.6194619461946196,1
20,hs_global_permutation,0.6190619061906191,1
00,no_shrinkage,0.6014150943396227,2
00,hs,0.5743677238057006,2
00,hs_entropy,0.543958249698916,2
00,hs_log_cardinality,0.5220794861501405,2
00,hs_permutation,0.5250903251706142,2
00,hs_global_permutation,0.5135487755921316,2
05,no_shrinkage,0.5036,2
05,hs,0.5668,2
05,hs_entropy,0.5893,2
05,hs_log_cardinality,0.5882000000000001,2
05,hs_permutation,0.6042000000000001,2
05,hs_global_permutation,0.5909,2
10,no_shrinkage,0.5067060354318886,2
10,hs,0.5381843659293364,2
10,hs_entropy,0.5244720248223401,2
10,hs_log_cardinality,0.5286758082274047,2
10,hs_permutation,0.5148633770393354,2
10,hs_global_permutation,0.5300770693624263,2
15,no_shrinkage,0.6619147659063624,2
15,hs,0.6414565826330533,2
15,hs_entropy,0.6499599839935976,2
15,hs_log_cardinality,0.6493597438975591,2
15,hs_permutation,0.6372549019607844,2
15,hs_global_permutation,0.6310524209683873,2
20,no_shrinkage,0.6408267440696627,2
20,hs,0.7030827744970474,2
20,hs_entropy,0.6905715143629267,2
20,hs_log_cardinality,0.6959263337003303,2
20,hs_permutation,0.6892202982684416,2
20,hs_global_permutation,0.6965268741867681,2
00,no_shrinkage,0.5479547954795481,3
00,hs,0.5266526652665267,3
00,hs_entropy,0.5462546254625462,3
00,hs_log_cardinality,0.5383538353835383,3
00,hs_permutation,0.5279527952795279,3
00,hs_global_permutation,0.5135513551355135,3
05,no_shrinkage,0.46429286858974356,3
05,hs,0.5219350961538461,3
05,hs_entropy,0.5608974358974358,3
05,hs_log_cardinality,0.5555889423076924,3
05,hs_permutation,0.5691105769230769,3
05,hs_global_permutation,0.5732171474358975,3
10,no_shrinkage,0.44617847138855543,3
10,hs,0.5013005202080832,3
10,hs_entropy,0.5145058023209284,3
10,hs_log_cardinality,0.5119047619047619,3
10,hs_permutation,0.5162064825930373,3
10,hs_global_permutation,0.5217086834733893,3
15,no_shrinkage,0.6079931972789117,3
15,hs,0.6259503801520611,3
15,hs_entropy,0.6229491796718687,3
15,hs_log_cardinality,0.6288515406162466,3
15,hs_permutation,0.6188475390156063,3
15,hs_global_permutation,0.6256502601040416,3
20,no_shrinkage,0.697260136491369,3
20,hs,0.7024287434765154,3
20,hs_entropy,0.7055399437976716,3
20,hs_log_cardinality,0.7008229626655962,3
20,hs_permutation,0.695303091128061,3
20,hs_global_permutation,0.7022280208751506,3
00,no_shrinkage,0.5405662264905962,4
00,hs,0.5050020008003201,4
00,hs_entropy,0.5066026410564226,4
00,hs_log_cardinality,0.5181072428971588,4
00,hs_permutation,0.5110044017607043,4
00,hs_global_permutation,0.5077030812324931,4
05,no_shrinkage,0.5708000000000001,4
05,hs,0.5497999999999998,4
05,hs_entropy,0.5484,4
05,hs_log_cardinality,0.5467000000000001,4
05,hs_permutation,0.5427500000000001,4
05,hs_global_permutation,0.5254000000000001,4
10,no_shrinkage,0.5863157894736841,4
10,hs,0.6169423558897243,4
10,hs_entropy,0.6278696741854637,4
10,hs_log_cardinality,0.6355889724310776,4
10,hs_permutation,0.633483709273183,4
10,hs_global_permutation,0.6393984962406015,4
15,no_shrinkage,0.5977564102564102,4
15,hs,0.6224959935897436,4
15,hs_entropy,0.6361177884615384,4
15,hs_log_cardinality,0.6314102564102564,4
15,hs_permutation,0.6293068910256411,4
15,hs_global_permutation,0.637520032051282,4
20,no_shrinkage,0.7211490341307176,4
20,hs,0.7340606545891303,4
20,hs_entropy,0.7371634471023921,4
20,hs_log_cardinality,0.7321589430487438,4
20,hs_permutation,0.7267540786708038,4
20,hs_global_permutation,0.7244520068061254,4
00,no_shrinkage,0.460996099609961,5
00,hs,0.4352435243524352,5
00,hs_entropy,0.46074607460746075,5
00,hs_log_cardinality,0.4428442844284428,5
00,hs_permutation,0.4403440344034404,5
00,hs_global_permutation,0.43274327432743276,5
05,no_shrinkage,0.48924569827931175,5
05,hs,0.4642857142857143,5
05,hs_entropy,0.48699479791916767,5
05,hs_log_cardinality,0.4950980392156863,5
05,hs_permutation,0.4689875950380152,5
05,hs_global_permutation,0.4942977190876351,5
10,no_shrinkage,0.5664566456645664,5
10,hs,0.6103610361036104,5
10,hs_entropy,0.6265626562656266,5
10,hs_log_cardinality,0.6204620462046205,5
10,hs_permutation,0.6308630863086309,5
10,hs_global_permutation,0.6396639663966397,5
15,no_shrinkage,0.6524,5
15,hs,0.6652,5
15,hs_entropy,0.6609499999999999,5
15,hs_log_cardinality,0.6555500000000001,5
15,hs_permutation,0.6528,5
15,hs_global_permutation,0.6586000000000001,5
20,no_shrinkage,0.6707683073229291,5
20,hs,0.7153861544617847,5
20,hs_entropy,0.7115846338535413,5
20,hs_log_cardinality,0.6999799919967986,5
20,hs_permutation,0.6934773909563825,5
20,hs_global_permutation,0.6976790716286514,5
00,no_shrinkage,0.4531328320802005,6
00,hs,0.4627568922305764,6
00,hs_entropy,0.42947368421052634,6
00,hs_log_cardinality,0.4406015037593985,6
00,hs_permutation,0.43298245614035086,6
00,hs_global_permutation,0.44842105263157894,6
05,no_shrinkage,0.6053921568627451,6
05,hs,0.5850340136054422,6
05,hs_entropy,0.6017406962785115,6
05,hs_log_cardinality,0.5907362945178071,6
05,hs_permutation,0.5936374549819928,6
05,hs_global_permutation,0.5981392557022809,6
10,no_shrinkage,0.4690221199079171,6
10,hs,0.5533980582524273,6
10,hs_entropy,0.5554999499549593,6
10,hs_log_cardinality,0.568611750575518,6
10,hs_permutation,0.5608047242518266,6
10,hs_global_permutation,0.5545991392253027,6
15,no_shrinkage,0.6083433373349341,6
15,hs,0.6399559823929573,6
15,hs_entropy,0.6494597839135654,6
15,hs_log_cardinality,0.6295518207282913,6
15,hs_permutation,0.6393557422969189,6
15,hs_global_permutation,0.6447579031612646,6
20,no_shrinkage,0.7464485794317727,6
20,hs,0.7543017206882753,6
20,hs_entropy,0.7697078831532613,6
20,hs_log_cardinality,0.7681072428971589,6
20,hs_permutation,0.7625050020008003,6
20,hs_global_permutation,0.7591036414565826,6
00,no_shrinkage,0.49509950995099505,7
00,hs,0.5033503350335033,7
00,hs_entropy,0.48654865486548654,7
00,hs_log_cardinality,0.48264826482648265,7
00,hs_permutation,0.4921492149214921,7
00,hs_global_permutation,0.49904990499049906,7
05,no_shrinkage,0.559423769507803,7
05,hs,0.5311124449779913,7
05,hs_entropy,0.5463185274109644,7
05,hs_log_cardinality,0.5491196478591437,7
05,hs_permutation,0.5346138455382153,7
05,hs_global_permutation,0.5512204881952781,7
10,no_shrinkage,0.6237623762376239,7
10,hs,0.6385638563856386,7
10,hs_entropy,0.6480648064806481,7
10,hs_log_cardinality,0.6477647764776477,7
10,hs_permutation,0.6435643564356436,7
10,hs_global_permutation,0.651065106510651,7
15,no_shrinkage,0.5987840418048438,7
15,hs,0.6473721234046829,7
15,hs_entropy,0.6574213646869661,7
15,hs_log_cardinality,0.6507888654406592,7
15,hs_permutation,0.6497839413124309,7
15,hs_global_permutation,0.6612400763742338,7
20,no_shrinkage,0.6514190821256038,7
20,hs,0.6848832528180355,7
20,hs_entropy,0.6814613526570048,7
20,hs_log_cardinality,0.6755233494363929,7
20,hs_permutation,0.6751207729468599,7
20,hs_global_permutation,0.6758252818035426,7
00,no_shrinkage,0.48244824482448245,8
00,hs,0.48284828482848285,8
00,hs_entropy,0.46684668466846685,8
00,hs_log_cardinality,0.49004900490048997,8
00,hs_permutation,0.47004700470047,8
00,hs_global_permutation,0.47264726472647267,8
05,no_shrinkage,0.547004700470047,8
05,hs,0.5414541454145414,8
05,hs_entropy,0.5585558555855585,8
05,hs_log_cardinality,0.5491549154915492,8
05,hs_permutation,0.5545554555455545,8
05,hs_global_permutation,0.5453545354535453,8
10,no_shrinkage,0.55915,8
10,hs,0.5804,8
10,hs_entropy,0.5968000000000001,8
10,hs_log_cardinality,0.6033999999999999,8
10,hs_permutation,0.5907,8
10,hs_global_permutation,0.5905,8
15,no_shrinkage,0.5145014501450145,8
15,hs,0.5916591659165916,8
15,hs_entropy,0.5995599559955995,8
15,hs_log_cardinality,0.5946594659465947,8
15,hs_permutation,0.5938593859385939,8
15,hs_global_permutation,0.5985598559855985,8
20,no_shrinkage,0.6709170917091709,8
20,hs,0.68006800680068,8
20,hs_entropy,0.6744674467446745,8
20,hs_log_cardinality,0.680968096809681,8
20,hs_permutation,0.6713671367136714,8
20,hs_global_permutation,0.6665666566656665,8
00,no_shrinkage,0.49124912491249123,9
00,hs,0.5146514651465146,9
00,hs_entropy,0.48854885488548855,9
00,hs_log_cardinality,0.4986498649864986,9
00,hs_permutation,0.5082508250825082,9
00,hs_global_permutation,0.5010501050105011,9
05,no_shrinkage,0.5757181463316985,9
05,hs,0.5836252627364628,9
05,hs_entropy,0.5895305775197678,9
05,hs_log_cardinality,0.5993394054649185,9
05,hs_permutation,0.6216594935441898,9
05,hs_global_permutation,0.615053548193374,9
10,no_shrinkage,0.5470753205128205,9
10,hs,0.5995592948717949,9
10,hs_entropy,0.608573717948718,9
10,hs_log_cardinality,0.6082732371794871,9
10,hs_permutation,0.5953525641025641,9
10,hs_global_permutation,0.6055689102564102,9
15,no_shrinkage,0.6311,9
15,hs,0.62165,9
15,hs_entropy,0.62055,9
15,hs_log_cardinality,0.62125,9
15,hs_permutation,0.6184499999999999,9
15,hs_global_permutation,0.60605,9
20,no_shrinkage,0.67115,9
20,hs,0.7167,9
20,hs_entropy,0.7189,9
20,hs_log_cardinality,0.7166,9
20,hs_permutation,0.7138000000000001,9
20,hs_global_permutation,0.7146,9
00,no_shrinkage,0.4724889955982393,10
00,hs,0.48269307723089233,10
00,hs_entropy,0.4980992396958784,10
00,hs_log_cardinality,0.4967987194877951,10
00,hs_permutation,0.48959583833533415,10
00,hs_global_permutation,0.49539815926370545,10
05,no_shrinkage,0.4996494391025641,10
05,hs,0.5324519230769231,10
05,hs_entropy,0.5518830128205129,10
05,hs_log_cardinality,0.5391626602564104,10
05,hs_permutation,0.5634014423076923,10
05,hs_global_permutation,0.5704126602564102,10
10,no_shrinkage,0.6572629051620648,10
10,hs,0.6871248499399759,10
10,hs_entropy,0.6816726690676271,10
10,hs_log_cardinality,0.6852240896358543,10
10,hs_permutation,0.6857242897158864,10
10,hs_global_permutation,0.679921968787515,10
15,no_shrinkage,0.6343634363436342,10
15,hs,0.6533653365336534,10
15,hs_entropy,0.6525652565256526,10
15,hs_log_cardinality,0.6508650865086508,10
15,hs_permutation,0.6538653865386538,10
15,hs_global_permutation,0.6417641764176417,10
20,no_shrinkage,0.602641056422569,10
20,hs,0.6213485394157664,10
20,hs_entropy,0.6162464985994398,10
20,hs_log_cardinality,0.6214485794317727,10
20,hs_permutation,0.6298519407763106,10
20,hs_global_permutation,0.621048419367747,10
00,no_shrinkage,0.5122512251225122,11
00,hs,0.5180518051805181,11
00,hs_entropy,0.5201520152015201,11
00,hs_log_cardinality,0.5203520352035204,11
00,hs_permutation,0.5378537853785378,11
00,hs_global_permutation,0.5314531453145314,11
05,no_shrinkage,0.6064606460646064,11
05,hs,0.5621562156215621,11
05,hs_entropy,0.57995799579958,11
05,hs_log_cardinality,0.5747574757475747,11
05,hs_permutation,0.5798579857985798,11
05,hs_global_permutation,0.5892589258925893,11
10,no_shrinkage,0.5866619831393015,11
10,hs,0.6072862304295463,11
10,hs_entropy,0.6134082697711762,11
10,hs_log_cardinality,0.61601766358892,11
10,hs_permutation,0.6039743075070252,11
10,hs_global_permutation,0.6052790044158972,11
