MDI_0,MDI_1,MDI_2,MDI_3,MDI_4,SHAP_0,SHAP_1,SHAP_2,SHAP_3,SHAP_4,relevance,shrink_mode,replication
0.43450551024323586,0.03494934736812861,0.09081644880957082,0.18510579687548898,0.2546228967035757,0.05046565756755009,0.03589114946390542,0.03932505774722798,0.04343409105311969,0.04447250771495869,00,no_shrinkage,0
0.41000630885914635,0.04835917754664553,0.10290013092115162,0.1885569310957852,0.25017745157727117,0.019820433384635603,0.014385191406767637,0.012977583675150697,0.01398122750498315,0.016463571071837664,00,hs,0
0.21752652633977218,0.09713078210015634,0.1931939871146996,0.23042052193965726,0.26172818250571456,0.00787198344852619,0.013396432784722042,0.010718017164283855,0.009512018860498354,0.011223924886747314,00,hs_entropy,0
0.21380461037887602,0.13149937500587014,0.19104657521121401,0.22723884687385207,0.23641059253018773,0.00893984796816317,0.014481080363412679,0.010251639975109226,0.009992668297882342,0.010893385904811353,00,hs_log_cardinality,0
0.2296953106816359,0.14988336754928058,0.20020372855730847,0.2160985056682057,0.2041190875435694,0.004430799885339226,0.009553715704417431,0.005625382502713614,0.00454657969233523,0.004334358267946987,00,hs_permutation,0
0.251749802954023,0.1313604800758606,0.21272817856555004,0.1910520686055084,0.21310946979905804,0.005179471953133049,0.009237999155226556,0.006970055374702249,0.004157324939096898,0.004329441551715525,00,hs_global_permutation,0
0.4454865803522244,0.029365900671374536,0.10097817710154554,0.17412377201702872,0.25004556985782694,0.06133010744655187,0.041630140930808975,0.03043661630058185,0.04236992439876978,0.049781007620190165,05,no_shrinkage,0
0.4284030502033804,0.0698972603597396,0.09627835841187689,0.17266047127888956,0.23276085974611355,0.022292075086133213,0.028847127353999497,0.006442287585477394,0.014204012787937285,0.01360253256748259,05,hs,0
0.22653143128289266,0.1452108624804718,0.17598445997172726,0.21587390482167707,0.23639934144323116,0.009330741332037627,0.026714238421895586,0.007332237166867579,0.00994317976214401,0.009721293195741906,05,hs_entropy,0
0.2210306176122517,0.18286925216464966,0.17731894365490392,0.19481904836038091,0.22396213820781394,0.00948564269023006,0.0332783075680231,0.0048948210526391835,0.008821909148559163,0.008910643141396517,05,hs_log_cardinality,0
0.25493870119876655,0.29847048619368866,0.11075077830460332,0.176768640870892,0.15907139343204954,0.0056165445653309784,0.02609856379185332,0.0031290253891152063,0.00507811344700506,0.004301554559490679,05,hs_permutation,0
0.2764201532771884,0.32949303841224375,0.10702913335147794,0.14037014654270893,0.146687528416381,0.006485369712827949,0.02834124181500341,0.002477838469138938,0.004350136936095612,0.004272609093722582,05,hs_global_permutation,0
0.40235730764820116,0.0761811198894309,0.09543819965893972,0.18496927187974682,0.24105410092368137,0.06030576573233782,0.11989273088815067,0.0293235663672229,0.046564432703697985,0.042948616042953774,10,no_shrinkage,0
0.32524898632967114,0.26628961600670076,0.07489758269243339,0.14659723583578949,0.18696657913540515,0.032641060811052384,0.08662847489841716,0.007094817186557819,0.017631758648638265,0.017364731816650682,10,hs,0
0.12802992396065943,0.4486709971105193,0.11960402689212661,0.15486703926038364,0.14882801277631114,0.011753173882970907,0.08486776232158236,0.006600323746284137,0.013754557026472616,0.00794008957678502,10,hs_entropy,0
0.12445439867842471,0.512645652580331,0.10989222705777361,0.1284551606277553,0.12455256105571541,0.013452122589148078,0.09627574972290144,0.006180646858860862,0.01031533065064276,0.00918733765997309,10,hs_log_cardinality,0
0.11070861095441863,0.6521188340074181,0.0487070978575153,0.09402002493183749,0.09444543224881051,0.011069127053185232,0.08882991574620443,0.003825429707432675,0.008836964068868858,0.00729020823036365,10,hs_permutation,0
0.1378414380399227,0.629607973986862,0.056147883160769824,0.08724926419904565,0.08915344061340001,0.014315018579212522,0.08866742273385682,0.004333541886438623,0.00836468776653752,0.007545647581623852,10,hs_global_permutation,0
0.40240251347802686,0.1035539331975331,0.07952771050323332,0.17317595692728258,0.24133988589392422,0.04457339942276594,0.14598667193769943,0.0398059828425743,0.037409557883477836,0.03665081622222496,15,no_shrinkage,0
0.25509124688844453,0.3745930428293186,0.07013012162089943,0.13638039300753946,0.16380519565379792,0.016460906057190004,0.11196719588089764,0.01461259027051392,0.014623458731817755,0.012547881001348923,15,hs,0
0.10148179968078214,0.5545356365841615,0.11492930763018509,0.12395923957706723,0.1050940165278041,0.008478661510524217,0.10525806302431029,0.015404934836790927,0.011553216628668633,0.005716896198735594,15,hs_entropy,0
0.08146642822428235,0.6007779128348877,0.10428252727730937,0.12124314382897083,0.09222998783454979,0.006770623879788218,0.12016594634097946,0.01683320095769923,0.011027012347729214,0.006713954622617712,15,hs_log_cardinality,0
0.05148962272196036,0.7685389591904722,0.07445266551720135,0.07103046219116056,0.034488290379205505,0.005232977109941748,0.11031573317507445,0.014881030196440406,0.007937740830163421,0.0028444119401498024,15,hs_permutation,0
0.04047478743440719,0.7772514556109791,0.08429893034450577,0.06289195219125095,0.03508287441885693,0.004215288792510183,0.11022014344536146,0.014951706410229963,0.007693349818381284,0.00289249878915216,15,hs_global_permutation,0
0.3583464127300496,0.21062850328828903,0.07129604551184715,0.1435010312977664,0.2162280071720478,0.053627899216939945,0.21775392054267032,0.036405699434940514,0.038199066176348904,0.03277675799448106,20,no_shrinkage,0
0.20653269325024193,0.5278159198040347,0.05605055392591034,0.08958244727987218,0.1200183857399408,0.02351273599221941,0.15741509552936145,0.015133226601996992,0.01118695085912411,0.009386550612150714,20,hs,0
