MDI_0,MDI_1,MDI_2,MDI_3,MDI_4,relevance,shrink_mode,lambda,replication
0.41512551242286133,0.042460402216238556,0.10801064106175935,0.1755159813548118,0.2588874629443288,00,hs,50.0,0
0.2735419767582982,0.07999818324863754,0.15680741019918842,0.22265885608467567,0.2669935737092002,00,hs_entropy,25.0,0
0.2697809580544749,0.09264104383379002,0.16630360026768226,0.21073423477429323,0.26054016306975963,00,hs_log_cardinality,25.0,0
0.20849239735339642,0.09430468981441359,0.2517040176757963,0.208929224953489,0.2365696702029047,00,hs_permutation,100.0,0
0.17285259209597625,0.0973299279395708,0.2719001933663872,0.20887216882337187,0.24904511777469387,00,hs_global_permutation,100.0,0
0.37538328968259976,0.12454029297442801,0.09943486199022353,0.16578441975796637,0.23485713559478225,05,hs,100.0,0
0.18728529625598,0.23852031523857706,0.1730914189749766,0.1958968514106242,0.20520611811984216,05,hs_entropy,100.0,0
0.16443774561770436,0.27631323492121684,0.1777294007589153,0.18356690164292352,0.19795271705924003,05,hs_log_cardinality,100.0,0
0.14565398319719897,0.4456509590912614,0.12027255011872534,0.13530378087381492,0.1531187267189993,05,hs_permutation,100.0,0
0.1423663043602638,0.44419223950064196,0.13822194339532926,0.12686333388144116,0.14835617886232397,05,hs_global_permutation,100.0,0
0.33627745570304923,0.23116913764421848,0.08506945636978169,0.1534962977547937,0.19398765252815692,10,hs,100.0,0
0.14093807173137768,0.41334489334816565,0.1268182687593129,0.16385357743381637,0.1550451887273275,10,hs_entropy,100.0,0
0.12663494630966957,0.45670687270794996,0.1210211473792586,0.1524628054772174,0.14317422812590458,10,hs_log_cardinality,100.0,0
0.07333500607630931,0.6783806621626479,0.08677435637663085,0.0851147793243169,0.07639519606009494,10,hs_permutation,100.0,0
0.06893561869624719,0.696428608473074,0.08849392666836044,0.07806834092126223,0.06807350524105615,10,hs_global_permutation,100.0,0
0.30817883521104916,0.3086286937576712,0.07644198458120018,0.12821820244295423,0.17853228400712517,15,hs,100.0,0
