replication,shrink_mode,lambda,ROC AUC
4,hs_global_permutation,1.0,0.45625
4,hs_global_permutation,10.0,0.475
4,hs_global_permutation,25.0,0.475
4,hs_global_permutation,50.0,0.5
4,hs_global_permutation,100.0,0.5125
5,hs,0.0,0.49375
5,hs,0.1,0.525
5,hs,1.0,0.525
5,hs,10.0,0.59375
5,hs,25.0,0.61875
5,hs,50.0,0.6124999999999999
5,hs,100.0,0.6437499999999999
5,hs_entropy,0.0,0.49375
5,hs_entropy,0.1,0.525
5,hs_entropy,1.0,0.525
5,hs_entropy,10.0,0.5625
5,hs_entropy,25.0,0.63125
5,hs_entropy,50.0,0.6124999999999999
5,hs_entropy,100.0,0.5875
5,hs_log_cardinality,0.0,0.49375
5,hs_log_cardinality,0.1,0.525
5,hs_log_cardinality,1.0,0.525
5,hs_log_cardinality,10.0,0.5625
5,hs_log_cardinality,25.0,0.5875
5,hs_log_cardinality,50.0,0.56875
5,hs_log_cardinality,100.0,0.61875
5,hs_permutation,0.0,0.49375
5,hs_permutation,0.1,0.525
5,hs_permutation,1.0,0.525
5,hs_permutation,10.0,0.60625
5,hs_permutation,25.0,0.6
5,hs_permutation,50.0,0.65
5,hs_permutation,100.0,0.6437499999999999
5,hs_global_permutation,0.0,0.49375
5,hs_global_permutation,0.1,0.6124999999999999
5,hs_global_permutation,1.0,0.5499999999999999
5,hs_global_permutation,10.0,0.625
5,hs_global_permutation,25.0,0.6375000000000001
5,hs_global_permutation,50.0,0.68125
5,hs_global_permutation,100.0,0.6437499999999999
6,hs,0.0,0.6124999999999999
6,hs,0.1,0.6124999999999999
6,hs,1.0,0.6124999999999999
6,hs,10.0,0.59375
6,hs,25.0,0.66875
6,hs,50.0,0.66875
6,hs,100.0,0.6625
6,hs_entropy,0.0,0.6124999999999999
6,hs_entropy,0.1,0.6124999999999999
6,hs_entropy,1.0,0.6124999999999999
6,hs_entropy,10.0,0.63125
6,hs_entropy,25.0,0.6375000000000001
