replication,shrink_mode,lambda,MSE
3,hs_permutation,0.0,1.1864801864801864
3,hs_permutation,0.1,1.0938157002258615
3,hs_permutation,1.0,1.0410587285323532
3,hs_permutation,10.0,0.8868232770884421
3,hs_permutation,25.0,0.8469250735389704
3,hs_permutation,50.0,0.8440210803774881
3,hs_permutation,100.0,0.8680042205745345
3,hs_global_permutation,0.0,1.1864801864801864
3,hs_global_permutation,0.1,1.1244683372749475
3,hs_global_permutation,1.0,1.0614143160802878
3,hs_global_permutation,10.0,0.9051608025050761
3,hs_global_permutation,25.0,0.8595878592407645
3,hs_global_permutation,50.0,0.8521883139705246
3,hs_global_permutation,100.0,0.8729651267979527
4,hs,0.0,1.1585081585081585
4,hs,0.1,1.1516288842952442
4,hs,1.0,1.103650452401955
4,hs,10.0,0.9532331012455093
4,hs,25.0,0.8979600035068471
4,hs,50.0,0.8771237433168079
4,hs,100.0,0.8831986880716567
4,hs_entropy,0.0,1.1585081585081585
4,hs_entropy,0.1,1.1471689972891135
4,hs_entropy,1.0,1.071682049368974
4,hs_entropy,10.0,0.8959690465070479
4,hs_entropy,25.0,0.8735506984493884
4,hs_entropy,50.0,0.8984366099814192
4,hs_entropy,100.0,0.9719376005961393
4,hs_log_cardinality,0.0,1.1585081585081585
4,hs_log_cardinality,0.1,1.1470247154043745
4,hs_log_cardinality,1.0,1.0696838839032863
4,hs_log_cardinality,10.0,0.8911311351675754
4,hs_log_cardinality,25.0,0.8737029644004661
4,hs_log_cardinality,50.0,0.9060381778762265
4,hs_log_cardinality,100.0,0.9921169000118966
4,hs_permutation,0.0,1.1585081585081585
4,hs_permutation,0.1,1.129994696512019
4,hs_permutation,1.0,1.080016604063524
4,hs_permutation,10.0,0.9430112871665045
4,hs_permutation,25.0,0.8984558332882341
4,hs_permutation,50.0,0.885062822135656
4,hs_permutation,100.0,0.8963472459385267
4,hs_global_permutation,0.0,1.1585081585081585
4,hs_global_permutation,0.1,1.1226086688980856
4,hs_global_permutation,1.0,1.070530395168763
4,hs_global_permutation,10.0,0.9359833835586733
4,hs_global_permutation,25.0,0.8972997935217367
4,hs_global_permutation,50.0,0.8863250374156012
4,hs_global_permutation,100.0,0.8983457921442619
5,hs,0.0,0.9883449883449883
5,hs,0.1,0.9817546823884701
5,hs,1.0,0.9353761435852178
5,hs,10.0,0.7898483518950062
5,hs,25.0,0.7477593495749194
5,hs,50.0,0.7464630562618597
5,hs,100.0,0.7768797616446177
5,hs_entropy,0.0,0.9883449883449883
5,hs_entropy,0.1,0.9769983264263401
5,hs_entropy,1.0,0.9020578987789222
5,hs_entropy,10.0,0.7466637662331188
5,hs_entropy,25.0,0.7524953709641193
5,hs_entropy,50.0,0.8039121662532793
5,hs_entropy,100.0,0.9071616498944686
5,hs_log_cardinality,0.0,0.9883449883449883
