replication,shrink_mode,lambda,MSE
4,hs_entropy,1.0,7331.186716416677
4,hs_entropy,10.0,5115.100940662023
4,hs_entropy,25.0,4694.631717561221
4,hs_entropy,50.0,4776.227706433722
4,hs_entropy,100.0,5129.989840703897
4,hs_log_cardinality,0.0,8322.52808988764
4,hs_log_cardinality,0.1,8193.600269172899
4,hs_log_cardinality,1.0,7312.995025904622
4,hs_log_cardinality,10.0,5058.439439940985
4,hs_log_cardinality,25.0,4642.394390506367
4,hs_log_cardinality,50.0,4741.340135880685
4,hs_log_cardinality,100.0,5117.638606470979
4,hs_permutation,0.0,8322.52808988764
4,hs_permutation,0.1,7241.680558523814
4,hs_permutation,1.0,6680.173526886137
4,hs_permutation,10.0,5096.89526045177
4,hs_permutation,25.0,4498.65869118767
4,hs_permutation,50.0,4242.3040532823525
4,hs_permutation,100.0,4216.101937827829
4,hs_global_permutation,0.0,8322.52808988764
4,hs_global_permutation,0.1,7266.825578169438
4,hs_global_permutation,1.0,6549.578384694121
4,hs_global_permutation,10.0,5016.024556452503
4,hs_global_permutation,25.0,4497.776923341698
4,hs_global_permutation,50.0,4288.007247466458
4,hs_global_permutation,100.0,4293.038507961821
5,hs,0.0,7400.61797752809
5,hs,0.1,7333.667683120674
5,hs,1.0,6848.986989510303
5,hs,10.0,5137.6662957993985
5,hs,25.0,4427.76509348811
5,hs,50.0,4082.9938857723882
5,hs,100.0,3962.2544427271637
5,hs_entropy,0.0,7400.61797752809
5,hs_entropy,0.1,7277.445838649361
5,hs_entropy,1.0,6444.3763985162905
5,hs_entropy,10.0,4440.888871367642
5,hs_entropy,25.0,4125.242734337325
5,hs_entropy,50.0,4231.912200041079
5,hs_entropy,100.0,4562.401547738904
5,hs_log_cardinality,0.0,7400.61797752809
5,hs_log_cardinality,0.1,7279.493971508098
5,hs_log_cardinality,1.0,6453.3584006353585
5,hs_log_cardinality,10.0,4444.988966739154
5,hs_log_cardinality,25.0,4135.4291629463505
5,hs_log_cardinality,50.0,4251.23233902088
5,hs_log_cardinality,100.0,4588.331287885051
5,hs_permutation,0.0,7400.61797752809
5,hs_permutation,0.1,7004.091854164102
5,hs_permutation,1.0,6259.699693195115
5,hs_permutation,10.0,4585.252063930222
5,hs_permutation,25.0,4170.1187248547785
5,hs_permutation,50.0,4062.2771792432336
5,hs_permutation,100.0,4106.284926475359
5,hs_global_permutation,0.0,7400.61797752809
5,hs_global_permutation,0.1,6521.836871982179
5,hs_global_permutation,1.0,5997.1710632699605
5,hs_global_permutation,10.0,4599.200700238459
5,hs_global_permutation,25.0,4135.428890949215
5,hs_global_permutation,50.0,3944.4077788156173
5,hs_global_permutation,100.0,3925.9310991838647
6,hs,0.0,6811.573033707865
6,hs,0.1,6741.090554934085
6,hs,1.0,6252.992805560004
6,hs,10.0,4651.158235262326
6,hs,25.0,3991.2979304929704
6,hs,50.0,3689.929801459254
6,hs,100.0,3622.064274436152
6,hs_entropy,0.0,6811.573033707865
6,hs_entropy,0.1,6698.593495727062
6,hs_entropy,1.0,5939.243203142899
6,hs_entropy,10.0,4078.2533281782553
6,hs_entropy,25.0,3787.649718839923
6,hs_entropy,50.0,3930.2553626948575
6,hs_entropy,100.0,4326.330425399135
6,hs_log_cardinality,0.0,6811.573033707865
6,hs_log_cardinality,0.1,6702.9974041226915
6,hs_log_cardinality,1.0,5955.836261134978
6,hs_log_cardinality,10.0,4081.021077917756
6,hs_log_cardinality,25.0,3804.857061642588
6,hs_log_cardinality,50.0,3961.119236516407
6,hs_log_cardinality,100.0,4362.993339526042
6,hs_permutation,0.0,6811.573033707865
6,hs_permutation,0.1,6422.750744356721
6,hs_permutation,1.0,5837.511356990855
6,hs_permutation,10.0,4251.07041015494
6,hs_permutation,25.0,3807.5091134722375
6,hs_permutation,50.0,3661.8258323412097
6,hs_permutation,100.0,3692.1602891968364
6,hs_global_permutation,0.0,6811.573033707865
6,hs_global_permutation,0.1,5708.3876973538045
6,hs_global_permutation,1.0,5278.984995273563
6,hs_global_permutation,10.0,4069.548945283983
6,hs_global_permutation,25.0,3704.284908394629
6,hs_global_permutation,50.0,3576.5616466693655
6,hs_global_permutation,100.0,3610.7606526773084
7,hs,0.0,7037.134831460674
7,hs,0.1,6973.8902987151305
7,hs,1.0,6519.594694006735
7,hs,10.0,4967.800876938001
7,hs,25.0,4321.265927791615
7,hs,50.0,3991.2270376426627
7,hs,100.0,3850.06901779794
7,hs_entropy,0.0,7037.134831460674
7,hs_entropy,0.1,6930.392386475989
7,hs_entropy,1.0,6205.997561040929
7,hs_entropy,10.0,4393.9102409031975
7,hs_entropy,25.0,4055.6024273383146
7,hs_entropy,50.0,4101.128070615664
7,hs_entropy,100.0,4354.13795259539
7,hs_log_cardinality,0.0,7037.134831460674
7,hs_log_cardinality,0.1,6933.565837575904
7,hs_log_cardinality,1.0,6224.334407546603
7,hs_log_cardinality,10.0,4423.563658973436
7,hs_log_cardinality,25.0,4088.646306311389
7,hs_log_cardinality,50.0,4138.1213599869425
7,hs_log_cardinality,100.0,4391.733129977557
7,hs_permutation,0.0,7037.134831460674
7,hs_permutation,0.1,5976.084474203255
7,hs_permutation,1.0,5621.550350210434
7,hs_permutation,10.0,4477.238747698472
7,hs_permutation,25.0,4035.944124022393
7,hs_permutation,50.0,3827.853144316783
7,hs_permutation,100.0,3773.301926503789
7,hs_global_permutation,0.0,7037.134831460674
7,hs_global_permutation,0.1,6347.885058292331
7,hs_global_permutation,1.0,5841.66532153633
7,hs_global_permutation,10.0,4476.980939615063
7,hs_global_permutation,25.0,4019.5423257775824
7,hs_global_permutation,50.0,3829.0733567886364
7,hs_global_permutation,100.0,3789.0101750769627
8,hs,0.0,7389.606741573034
8,hs,0.1,7323.640964697369
8,hs,1.0,6879.453948444445
8,hs,10.0,5524.9114750032795
8,hs,25.0,4861.14108296398
8,hs,50.0,4438.692804845456
8,hs,100.0,4205.800646036387
8,hs_entropy,0.0,7389.606741573034
8,hs_entropy,0.1,7278.921101858472
8,hs_entropy,1.0,6540.3677593540015
8,hs_entropy,10.0,4673.472232599986
8,hs_entropy,25.0,4272.689761597562
8,hs_entropy,50.0,4318.110803084277
8,hs_entropy,100.0,4622.757120726263
8,hs_log_cardinality,0.0,7389.606741573034
8,hs_log_cardinality,0.1,7285.976399287877
8,hs_log_cardinality,1.0,6569.8918392794385
8,hs_log_cardinality,10.0,4652.117575673471
8,hs_log_cardinality,25.0,4251.30423114545
8,hs_log_cardinality,50.0,4311.417225323951
8,hs_log_cardinality,100.0,4630.785982280481
8,hs_permutation,0.0,7389.606741573034
8,hs_permutation,0.1,6651.312351169837
8,hs_permutation,1.0,5885.197818360804
8,hs_permutation,10.0,4525.19740977857
8,hs_permutation,25.0,4178.27051530318
8,hs_permutation,50.0,4034.1581295680794
8,hs_permutation,100.0,4021.7527788326393
8,hs_global_permutation,0.0,7389.606741573034
8,hs_global_permutation,0.1,6809.777253196082
8,hs_global_permutation,1.0,6418.613384917548
8,hs_global_permutation,10.0,5040.893258912856
8,hs_global_permutation,25.0,4443.791311870176
8,hs_global_permutation,50.0,4170.482671020876
8,hs_global_permutation,100.0,4093.6213870570978
9,hs,0.0,5966.0224719101125
9,hs,0.1,5908.324376195079
9,hs,1.0,5514.4964817402015
9,hs,10.0,4401.0599014712325
9,hs,25.0,4071.2309844780616
9,hs,50.0,3979.9089567780684
9,hs,100.0,4061.711412737836
9,hs_entropy,0.0,5966.0224719101125
9,hs_entropy,0.1,5867.163274392778
9,hs_entropy,1.0,5237.774341644229
9,hs_entropy,10.0,4088.289687100977
9,hs_entropy,25.0,4121.045931875839
9,hs_entropy,50.0,4425.461870327405
9,hs_entropy,100.0,4905.855490293194
9,hs_log_cardinality,0.0,5966.0224719101125
9,hs_log_cardinality,0.1,5869.025586074942
9,hs_log_cardinality,1.0,5239.694820052777
9,hs_log_cardinality,10.0,4061.8874776460993
9,hs_log_cardinality,25.0,4103.907521478244
9,hs_log_cardinality,50.0,4423.860303065285
9,hs_log_cardinality,100.0,4917.109543568895
9,hs_permutation,0.0,5966.0224719101125
9,hs_permutation,0.1,5247.634846102983
9,hs_permutation,1.0,4841.905442392027
9,hs_permutation,10.0,4046.0710556295876
9,hs_permutation,25.0,3931.0945428565688
9,hs_permutation,50.0,3965.8670604085764
9,hs_permutation,100.0,4124.773795452051
9,hs_global_permutation,0.0,5966.0224719101125
9,hs_global_permutation,0.1,6067.817628077972
9,hs_global_permutation,1.0,5651.868877308818
9,hs_global_permutation,10.0,4590.876781458559
9,hs_global_permutation,25.0,4234.478106546631
9,hs_global_permutation,50.0,4119.554896848906
9,hs_global_permutation,100.0,4190.1872406991915
10,hs,0.0,5468.853932584269
10,hs,0.1,5411.4826037186585
10,hs,1.0,5003.000118194317
10,hs,10.0,3754.3150116183797
10,hs,25.0,3367.0008038296614
10,hs,50.0,3264.7593494219977
10,hs,100.0,3360.143536701777
10,hs_entropy,0.0,5468.853932584269
10,hs_entropy,0.1,5367.521484289694
10,hs_entropy,1.0,4706.229139744117
10,hs_entropy,10.0,3416.1857449160825
10,hs_entropy,25.0,3431.8874820736028
10,hs_entropy,50.0,3745.133600435352
10,hs_entropy,100.0,4243.514559302856
10,hs_log_cardinality,0.0,5468.853932584269
10,hs_log_cardinality,0.1,5366.116857443725
10,hs_log_cardinality,1.0,4695.93726869789
10,hs_log_cardinality,10.0,3406.9240238502916
10,hs_log_cardinality,25.0,3436.871314950381
10,hs_log_cardinality,50.0,3761.9908366452337
10,hs_log_cardinality,100.0,4267.7272190194335
10,hs_permutation,0.0,5468.853932584269
10,hs_permutation,0.1,5211.474016379209
