replication,shrink_mode,lambda,MSE
0,hs,0.0,0.0142787958692413
0,hs,0.1,0.014068823508073522
0,hs,1.0,0.012871755960986286
0,hs,10.0,0.012310541389184896
0,hs,25.0,0.014895160904112326
0,hs,50.0,0.018965659611248194
0,hs,100.0,0.02527606185367829
0,hs_entropy,0.0,0.0142787958692413
0,hs_entropy,0.1,0.013876002703239859
0,hs_entropy,1.0,0.011685222357610221
0,hs_entropy,10.0,0.014926998674710062
0,hs_entropy,25.0,0.02435782432801355
0,hs_entropy,50.0,0.034365216241552594
0,hs_entropy,100.0,0.0444119627930263
0,hs_log_cardinality,0.0,0.0142787958692413
0,hs_log_cardinality,0.1,0.01390505212387289
0,hs_log_cardinality,1.0,0.011814032747853278
0,hs_log_cardinality,10.0,0.01495889574783121
0,hs_log_cardinality,25.0,0.024359827056900617
0,hs_log_cardinality,50.0,0.034361278172036096
0,hs_log_cardinality,100.0,0.044407882209260514
0,hs_permutation,0.0,0.0142787958692413
0,hs_permutation,0.1,0.01008188347171403
0,hs_permutation,1.0,0.011104840013812288
0,hs_permutation,10.0,0.015241244006068754
0,hs_permutation,25.0,0.018864274591056617
0,hs_permutation,50.0,0.023078220033137246
0,hs_permutation,100.0,0.029173612466863248
0,hs_global_permutation,0.0,0.0142787958692413
0,hs_global_permutation,0.1,0.008955933591448023
0,hs_global_permutation,1.0,0.009681556873529056
0,hs_global_permutation,10.0,0.013182155092420766
0,hs_global_permutation,25.0,0.01682905607172556
0,hs_global_permutation,50.0,0.02127419699113476
0,hs_global_permutation,100.0,0.027647297077081256
1,hs,0.0,0.0242758137580946
1,hs,0.1,0.024090384028671315
1,hs,1.0,0.022703512675176413
1,hs,10.0,0.021244007837187766
1,hs,25.0,0.026486889792984213
1,hs,50.0,0.03463543795562582
1,hs,100.0,0.04715408615833553
1,hs_entropy,0.0,0.0242758137580946
1,hs_entropy,0.1,0.023723523911548795
1,hs_entropy,1.0,0.020791470580880107
1,hs_entropy,10.0,0.0295416204311216
1,hs_entropy,25.0,0.04795770895581715
1,hs_entropy,50.0,0.06696425022817229
1,hs_entropy,100.0,0.08575885060042984
1,hs_log_cardinality,0.0,0.0242758137580946
1,hs_log_cardinality,0.1,0.023674488790544193
1,hs_log_cardinality,1.0,0.020490289376512268
1,hs_log_cardinality,10.0,0.029241177617117847
1,hs_log_cardinality,25.0,0.04778977294897707
1,hs_log_cardinality,50.0,0.06686797115557087
1,hs_log_cardinality,100.0,0.08570680040144064
1,hs_permutation,0.0,0.0242758137580946
1,hs_permutation,0.1,0.02898024425840843
1,hs_permutation,1.0,0.02716537667358864
1,hs_permutation,10.0,0.025935292848268444
1,hs_permutation,25.0,0.03123500466142043
1,hs_permutation,50.0,0.03904426634772849
1,hs_permutation,100.0,0.05107283119014557
1,hs_global_permutation,0.0,0.0242758137580946
1,hs_global_permutation,0.1,0.02268306823631333
1,hs_global_permutation,1.0,0.021144312430712617
1,hs_global_permutation,10.0,0.02272269951189878
1,hs_global_permutation,25.0,0.029628917677736767
1,hs_global_permutation,50.0,0.038598670970469866
1,hs_global_permutation,100.0,0.051744265103341514
2,hs,0.0,0.0136991720720861
2,hs,0.1,0.013868089804367361
2,hs,1.0,0.015570031111591965
2,hs,10.0,0.03097270296416197
2,hs,25.0,0.046770814568323174
2,hs,50.0,0.06312080517147081
2,hs,100.0,0.08319178146972236
2,hs_entropy,0.0,0.0136991720720861
2,hs_entropy,0.1,0.014128089934413182
2,hs_entropy,1.0,0.018501798179198198
2,hs_entropy,10.0,0.05373982891112028
2,hs_entropy,25.0,0.08361763068124675
2,hs_entropy,50.0,0.10842465409922072
2,hs_entropy,100.0,0.13020150905873268
2,hs_log_cardinality,0.0,0.0136991720720861
2,hs_log_cardinality,0.1,0.014118533258849536
2,hs_log_cardinality,1.0,0.0183993044610784
2,hs_log_cardinality,10.0,0.05352342378460784
2,hs_log_cardinality,25.0,0.08347129608822809
2,hs_log_cardinality,50.0,0.10833172504995311
2,hs_log_cardinality,100.0,0.13014766216341617
2,hs_permutation,0.0,0.0136991720720861
2,hs_permutation,0.1,0.02224814291820536
2,hs_permutation,1.0,0.025283312838890504
2,hs_permutation,10.0,0.042111798288833845
2,hs_permutation,25.0,0.05634726347668849
2,hs_permutation,50.0,0.07090240565164309
2,hs_permutation,100.0,0.08917584594573533
2,hs_global_permutation,0.0,0.0136991720720861
2,hs_global_permutation,0.1,0.0150115743246032
2,hs_global_permutation,1.0,0.02021797127660937
2,hs_global_permutation,10.0,0.041139826353327545
2,hs_global_permutation,25.0,0.056433942581197646
2,hs_global_permutation,50.0,0.07170023178860141
2,hs_global_permutation,100.0,0.0905911772524515
3,hs,0.0,0.021850612021098673
3,hs,0.1,0.021668133408190356
3,hs,1.0,0.020598594471035233
3,hs,10.0,0.021849768354895365
3,hs,25.0,0.026657497405710707
3,hs,50.0,0.03273878304794588
3,hs,100.0,0.041046521127622956
3,hs_entropy,0.0,0.021850612021098673
3,hs_entropy,0.1,0.021622798204667483
3,hs_entropy,1.0,0.02084973378986054
3,hs_entropy,10.0,0.030196428940325138
3,hs_entropy,25.0,0.04195287463870874
3,hs_entropy,50.0,0.05262323401613245
3,hs_entropy,100.0,0.06241976865137231
3,hs_log_cardinality,0.0,0.021850612021098673
3,hs_log_cardinality,0.1,0.02162659210852321
3,hs_log_cardinality,1.0,0.02087064032430368
3,hs_log_cardinality,10.0,0.030203717809763896
3,hs_log_cardinality,25.0,0.041950832048404704
3,hs_log_cardinality,50.0,0.052619770278258
3,hs_log_cardinality,100.0,0.06241704409629127
3,hs_permutation,0.0,0.021850612021098673
3,hs_permutation,0.1,0.02119904800491854
3,hs_permutation,1.0,0.02118845128043705
3,hs_permutation,10.0,0.025643105787071095
3,hs_permutation,25.0,0.02992449543332786
3,hs_permutation,50.0,0.035393609879916424
3,hs_permutation,100.0,0.04326118077714007
3,hs_global_permutation,0.0,0.021850612021098673
3,hs_global_permutation,0.1,0.023925556749954606
3,hs_global_permutation,1.0,0.021175215676366994
3,hs_global_permutation,10.0,0.023828989620110878
3,hs_global_permutation,25.0,0.028819529134864137
3,hs_global_permutation,50.0,0.034749737138294504
3,hs_global_permutation,100.0,0.04285966800330697
4,hs,0.0,0.03836115508831659
4,hs,0.1,0.03820035325867031
4,hs,1.0,0.037118876477411654
4,hs,10.0,0.035491274666846984
4,hs,25.0,0.036348087202541395
4,hs,50.0,0.03789083694724336
4,hs,100.0,0.04180278984473157
4,hs_entropy,0.0,0.03836115508831659
4,hs_entropy,0.1,0.038075372955430585
4,hs_entropy,1.0,0.03650093231911178
4,hs_entropy,10.0,0.0374331350566393
4,hs_entropy,25.0,0.04377574184442298
4,hs_entropy,50.0,0.05296444987197415
4,hs_entropy,100.0,0.06381679520733087
4,hs_log_cardinality,0.0,0.03836115508831659
4,hs_log_cardinality,0.1,0.03808621959993295
4,hs_log_cardinality,1.0,0.0365714631377537
4,hs_log_cardinality,10.0,0.0374485641443484
4,hs_log_cardinality,25.0,0.04373204843321087
4,hs_log_cardinality,50.0,0.05291274905765688
4,hs_log_cardinality,100.0,0.0637765389472098
4,hs_permutation,0.0,0.03836115508831659
4,hs_permutation,0.1,0.040000862475564614
4,hs_permutation,1.0,0.03911713612679938
4,hs_permutation,10.0,0.03824100284163547
4,hs_permutation,25.0,0.03824394639500951
4,hs_permutation,50.0,0.03906146410134701
4,hs_permutation,100.0,0.0428114289799698
4,hs_global_permutation,0.0,0.03836115508831659
4,hs_global_permutation,0.1,0.038529292154925
4,hs_global_permutation,1.0,0.037488563588289184
4,hs_global_permutation,10.0,0.036441607874606416
4,hs_global_permutation,25.0,0.03723425327117277
4,hs_global_permutation,50.0,0.038624526337029584
4,hs_global_permutation,100.0,0.04269177495010694
5,hs,0.0,0.020484410841376765
5,hs,0.1,0.020589023345842245
5,hs,1.0,0.02134540998066405
5,hs,10.0,0.026473809276496535
5,hs,25.0,0.0338561353361153
5,hs,50.0,0.043370889108955576
5,hs,100.0,0.05635864317691578
5,hs_entropy,0.0,0.020484410841376765
5,hs_entropy,0.1,0.020677606194589006
5,hs_entropy,1.0,0.022525134021455385
5,hs_entropy,10.0,0.040211619555603
5,hs_entropy,25.0,0.0583824172073422
5,hs_entropy,50.0,0.0743227175622462
