no shrinkage,optimal shrinkage,SNR
0.6299953558945603,0.07914998427027366,0.05
0.38119549538522685,0.0402750478552413,0.09
0.2550030144643527,0.1659610959733179,0.14
0.18531863099899498,0.1401854341302715,0.25
0.09801915119180435,0.07632176771382326,0.42
0.017686863603109098,0.01768686360310913,0.71
-0.02946340511125655,-0.02946340511125653,1.22
-0.08432473144684771,-0.08432473144684773,2.07
-0.10981714150681426,-0.10981714150681422,3.52
-0.13120138362839226,-0.13120138362839223,6.0
