,0.0,0.1,1.0,10.0,100.0,maxnd
0,-5.229579430757081,-5.230018760317497,-5.233968776345315,-5.27308175683463,-5.629009879287458,2
1,141.7802658828481,141.6105887009583,140.11813754630347,127.67268354298605,75.18541940828482,27
2,242.1310434372401,241.61399546023804,237.15951535583145,204.35694920607216,103.23095245177441,52
3,323.0030128006483,322.0738855558066,314.1844096338096,260.4001504706394,120.3250261971999,77
4,385.4003629993748,384.06264522914387,372.83337833964686,300.43454409918024,131.33038536109646,101
5,437.6274387860845,435.87250015028627,421.28820736137635,331.52322610980343,138.8135053398986,126
6,479.449450095541,477.30259207986717,459.61916983364756,354.9373794690011,144.2448943805465,151
7,512.1944433819564,509.6904110758728,489.22301572790906,371.9881378441426,147.93879372433597,176
8,536.5559033891834,533.7472616584051,510.9459729700115,383.88347442666185,150.37120800791405,200
